time_ms,x,y,action
4900,55.00000000000012,41.339745962155554,arc
4950,55.73576436351059,41.808479557110026,arc
5000,56.42787609686553,42.33955556881016,arc
5050,57.07106781186562,42.92893218813447,arc
5100,57.66044443118993,43.57212390313455,arc
5150,58.191520442890074,44.26423563648949,arc
5200,58.660254037844545,44.99999999999995,arc
5250,59.06307787036666,45.77381738259296,arc
5300,59.39692620785925,46.57979856674327,arc
5350,59.65925826289086,47.41180954897476,arc
5400,59.84807753012226,48.26351822333067,arc
5450,59.96194698091764,49.1284425725234,arc
5500,60.000000000000185,49.999999999999986,arc
5550,60.00000000000022,60.00000000000006,forward
5600,60.000000000000234,63.53553390593282,forward-B-start
5650,56.464466094067454,60.00000000000007,arc-B
5700,60.00000000000022,60.00000000000006,forward-B-end
5750,70.0000000000003,60.000000000000014,forward
5800,73.53553390593306,60.0,forward-B-start
5850,70.00000000000031,63.53553390593278,arc-B
5900,70.0000000000003,60.000000000000014,forward-B-end
5950,70.00000000000024,49.99999999999993,forward
6000,70.00000000000023,46.46446609406716,forward-B-start
6050,73.53553390593301,49.999999999999915,arc-B
6100,70.00000000000024,49.999999999999936,forward-B-end
6150,60.000000000000156,49.99999999999999,forward
6200,59.12844257252357,49.96194698091745,arc
6250,58.26351822333084,49.84807753012208,arc
6300,57.41180954897493,49.65925826289069,arc
6350,56.57979856674344,49.39692620785909,arc
6400,55.77381738259312,49.063077870366506,arc
6450,55.00000000000011,48.660254037844396,arc
6500,54.26423563648964,48.191520442889924,arc
6550,53.572123903134695,47.66044443118979,arc
6600,52.9289321881346,47.07106781186548,arc
6650,52.33955556881029,46.4278760968654,arc
6700,51.80847955711015,45.73576436351046,arc
6750,51.33974596215567,45.0,arc
6800,50.936922129633544,44.22618261740699,arc
6850,50.603073792140954,43.42020143325668,arc
6900,50.34074173710935,42.58819045102519,arc
6950,50.151922469877945,41.73648177666928,arc
7000,50.03805301908256,40.87155742747655,arc
7050,50.000000000000014,39.999999999999964,arc
7100,49.99999999999996,29.99999999999986,forward
7150,50.0380530190825,29.12844257252327,arc
7200,50.15192246987787,28.26351822333054,arc
7250,50.34074173710926,27.411809548974624,arc
7300,50.60307379214086,26.579798566743133,arc
7350,50.936922129633444,25.773817382592814,arc
7400,51.339745962155554,24.999999999999797,arc
7450,51.808479557110026,24.264235636489325,arc
7500,52.33955556881016,23.572123903134383,arc
7550,52.92893218813447,22.92893218813429,arc
7600,53.57212390313455,22.339555568809974,arc
7650,54.26423563648949,21.808479557109827,arc
7700,54.99999999999996,21.339745962155348,arc
7750,55.773817382592966,20.936922129633224,arc
7800,56.57979856674328,20.60307379214063,arc
7850,57.411809548974766,20.340741737109024,arc
7900,58.26351822333068,20.15192246987762,arc
7950,59.12844257252341,20.038053019082238,arc
8000,60.0,19.999999999999687,arc
8050,70.00000000000011,19.999999999999623,forward
8100,73.5355339059329,19.999999999999602,forward-B-start
8150,70.00000000000013,23.535533905932407,arc-B
8200,70.0000000000001,19.999999999999627,forward-B-end
8250,70.00000000000003,9.999999999999504,forward
8300,70.0,6.464466094066724,forward-B-start
8350,73.53553390593282,9.99999999999948,arc-B
8400,70.00000000000004,9.999999999999508,forward-B-end
8450,59.99999999999992,9.999999999999586,forward
8500,56.46446609406714,9.999999999999615,forward-B-start
8550,59.9999999999999,6.464466094066802,arc-B
8600,59.99999999999993,9.999999999999584,forward-B-end
8650,60.000000000000014,19.99999999999971,forward
8700,59.961946980917475,20.8715574274763,arc
8750,59.848077530122104,21.736481776669034,arc
8800,59.65925826289071,22.58819045102495,arc
8850,59.39692620785912,23.42020143325644,arc
8900,59.063077870366534,24.22618261740676,arc
8950,58.660254037844425,24.99999999999978,arc
9000,58.19152044288995,25.735764363510253,arc
9050,57.660444431189816,26.427876096865198,arc
9100,57.07106781186551,27.071067811865294,arc
9150,56.427876096865425,27.660444431189614,arc
9200,55.73576436351049,28.191520442889765,arc
9250,55.00000000000002,28.660254037844247,arc
9300,54.22618261740701,29.06307787036637,arc
9350,53.4202014332567,29.396926207858968,arc
9400,52.58819045102521,29.659258262890578,arc
9450,51.7364817766693,29.848077530121987,arc
9500,50.87155742747657,29.96194698091737,arc
9550,49.99999999999997,29.999999999999925,arc
9600,39.99999999999983,30.000000000000014,forward
9650,39.128442572523234,29.961946980917478,arc
9700,38.2635182233305,29.848077530122108,arc
