x,y
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
548,465
550,467
429,305
526,309
716,309
450,311
672,311
